pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.25,100,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,4.960675976661832e-07,2.198163098661443e-07,2.7625128780003894e-07,2.2567369908459494,0.8139199606269252,0.3739147838014836,0.1643334999602926,0.20958128384119099,higher
heat,0.25,101,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,6.808440762978707e-07,7.41745792599835e-08,6.066694970378872e-07,9.178940859394666,2.216911823182606,0.3901254045598826,0.0408086489918775,0.3493167555680051,higher
heat,0.25,102,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,4.928354929711887e-07,4.838769397108589e-07,8.958553260329793e-09,1.018514114902196,0.018344815108278664,0.2669175336957304,0.2620032563853399,0.0049142773103905135,higher
heat,0.25,103,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,4.294693357609347e-07,2.0512479094458858e-07,2.2434454481634614e-07,2.0936978596455926,0.7389318134253219,0.2777445066358801,0.1316067255559105,0.14613778107996958,higher
heat,0.25,104,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.782371566507514e-07,4.745931622106292e-07,-9.635600555987778e-08,0.7969713572967282,-0.22693653898485425,0.2660519248504647,0.3346227808567607,-0.06857085600629603,lower
heat,0.25,105,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.4396975751027625e-07,2.977013037093468e-07,4.6268453800929477e-08,1.155419049982067,0.14446309201001917,0.2195232860089574,0.1896132131404205,0.02991007286853689,higher
heat,0.25,106,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,3.988572687546599e-07,4.164877230559972e-07,-1.7630454301337303e-08,0.9576687298920289,-0.04325335424373162,0.3153437449700108,0.3294177104837242,-0.014073965513713427,lower
heat,0.25,107,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,2.630949602622224e-07,2.486782255273906e-07,1.441673473483179e-08,1.0579734502458233,0.05635523883562958,0.2374694403413892,0.2242605626925849,0.013208877648804296,higher
heat,0.25,108,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,5.879549600518175e-07,3.5493632413556575e-07,2.3301863591625172e-07,1.6565082807000944,0.5047119416587476,0.2592306024983843,0.1556377179712261,0.1035928845271582,higher
heat,0.25,109,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,2.956787271690686e-07,2.109270450731393e-07,8.475168209592931e-08,1.401805667293834,0.3377611679449647,0.2092573120122218,0.1484351348148959,0.06082217719732591,higher
