pde,r,seed,reference_scope,scope_label,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,delta_identity_minus_pde,closer_reference
heat,0.25,103,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0156831758311228,0.0182310385122958,0.0025478626811730014,PDE reference
heat,0.25,104,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0254187784350181,0.011019251954085,-0.014399526480933102,identity
heat,0.25,105,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0221994641059113,0.0122615175958327,-0.009937946510078599,identity
heat,0.25,106,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0150170436934812,0.0185537430285146,0.003536699335033401,PDE reference
heat,0.25,107,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0216414906164461,0.0133592159907642,-0.008282274625681898,identity
heat,0.25,108,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0147039112184416,0.0188960596806951,0.004192148462253501,PDE reference
heat,0.25,109,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0206850175694711,0.0138878876844528,-0.006797129885018299,identity
heat,0.25,110,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0185559468312962,0.0156435334517705,-0.002912413379525698,identity
heat,0.25,111,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0217956630567126,0.0122285906458499,-0.0095670724108627,identity
heat,0.25,112,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0155737655038977,0.0182161329305755,0.002642367426677802,PDE reference
heat,0.25,113,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.015713910964532,0.0183434902658119,0.0026295793012799003,PDE reference
heat,0.25,114,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0201191801259961,0.0141141622385775,-0.0060050178874186,identity
heat,0.25,115,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.016919385997185,0.0167376526641884,-0.00018173333299659894,identity
heat,0.25,116,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0184063686172801,0.0152756706672305,-0.0031306979500496015,identity
heat,0.25,117,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0192614078267769,0.0147586391004568,-0.004502768726320102,identity
heat,0.25,118,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0165899766970732,0.0175326838859489,0.0009427071888757008,PDE reference
heat,0.25,119,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0184638163820653,0.0155009293536565,-0.0029628870284088005,identity
heat,0.25,100,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1028857951084863,0.0151009728059988,-0.0877848223024875,identity
heat,0.25,101,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1013617090541069,0.0170954804749901,-0.0842662285791168,identity
heat,0.25,102,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1056806165325834,0.0119776760528894,-0.09370294047969399,identity
heat,0.25,103,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1030011598315893,0.0148464598162303,-0.08815470001535901,identity
heat,0.25,104,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1037876376559058,0.0138904458948349,-0.0898971917610709,identity
heat,0.25,105,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1053874579022508,0.0123348131392918,-0.093052644762959,identity
heat,0.25,106,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1010663467978171,0.0168993342548606,-0.0841670125429565,identity
heat,0.25,107,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1033254285531599,0.0143645597090502,-0.0889608688441097,identity
heat,0.25,108,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1013782541301409,0.0164932978291721,-0.0848849563009688,identity
heat,0.25,109,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1032401991305309,0.0143458122367269,-0.088894386893804,identity
heat,0.25,110,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1041151739918646,0.0146978359743845,-0.0894173380174801,identity
heat,0.25,111,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1060130010694042,0.0117067205105331,-0.0943062805588711,identity
heat,0.25,112,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1042718602434271,0.0134987915437533,-0.0907730686996738,identity
heat,0.25,113,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1029568611856313,0.014896305055058,-0.0880605561305733,identity
heat,0.25,114,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1060199913052411,0.0116226290302996,-0.0943973622749415,identity
heat,0.25,115,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1034718345685458,0.0143559915654194,-0.0891158430031264,identity
heat,0.25,116,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1038220483541144,0.014051278094208,-0.0897707702599064,identity
heat,0.25,117,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1049410750767902,0.0128010547580311,-0.09214002031875909,identity
heat,0.25,118,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1028424274942259,0.0148798051553867,-0.0879626223388392,identity
heat,0.25,119,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.1040835321087028,0.0136747122873791,-0.0904088198213237,identity
heat,0.25,100,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7086819570457519,0.0124823986953188,-0.6961995583504331,identity
heat,0.25,101,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7073463041701192,0.0138747284705574,-0.6934715756995619,identity
heat,0.25,102,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7084913749227452,0.0128080585981489,-0.6956833163245962,identity
heat,0.25,103,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7060915462339666,0.0154260880066518,-0.6906654582273148,identity
heat,0.25,104,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7094925837101291,0.0116307750818272,-0.6978618086283019,identity
heat,0.25,105,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7083537969193716,0.0129600813696323,-0.6953937155497393,identity
heat,0.25,106,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7028332988293602,0.0190000166731627,-0.6838332821561974,identity
heat,0.25,107,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7082800401414425,0.0129386100559961,-0.6953414300854465,identity
heat,0.25,108,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7032327266874893,0.0185714918443358,-0.6846612348431534,identity
heat,0.25,109,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7080372215687359,0.0132061303902385,-0.6948310911784974,identity
heat,0.25,110,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7108720361228891,0.0100365024534584,-0.7008355336694306,identity
heat,0.25,111,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7089449859069713,0.0123245872781789,-0.6966203986287924,identity
heat,0.25,112,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7065398231083276,0.0149587493262406,-0.691581073782087,identity
heat,0.25,113,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7071267817427247,0.0142578369125214,-0.6928689448302033,identity
heat,0.25,114,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7088515225617149,0.0124506064837271,-0.6964009160779878,identity
heat,0.25,115,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7058672397388787,0.0157349895381983,-0.6901322502006804,identity
heat,0.25,116,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7065567702744175,0.014912071267046,-0.6916446990073716,identity
heat,0.25,117,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.707388633073166,0.0140360765593829,-0.6933525565137831,identity
heat,0.25,118,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.7068456452735117,0.0145976006489213,-0.6922480446245903,identity
