pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
wave,0.25,211,layer3,stencil,0.003602409327868372,0.0026776828162837774,0.002781704068183899,8.88978448819759,1.3453457989725521,0.037394794467850885
wave,0.25,211,layer3,acf,0.0028404066688381135,0.0026776828162837774,0.002781704068183899,1.56433276452565,1.060770398780903,0.037394794467850885
wave,0.25,211,layer3,xcorr,0.0028406967758201063,0.0026776828162837774,0.002781704068183899,1.5671216848346583,1.0608787413300012,0.037394794467850885
wave,0.25,211,layer3,uniform,0.002745591104030609,0.0026776828162837774,0.002781704068183899,0.6528309024009392,1.0253608408486103,0.037394794467850885
wave,0.25,211,layer3,random,0.002748507511569187,0.0026776828162837774,0.002781704068183899,0.6808675534246951,1.0264499943214722,0.037394794467850885
wave,0.25,211,layer3,identity,0.0036252239369787276,0.0026776828162837774,0.002781704068183899,9.109110911342944,1.353866079631491,0.037394794467850885
wave,0.25,211,layer3,frozen,0.002742539392784238,0.0026776828162837774,0.002781704068183899,0.6234935199850705,1.0242211572282007,0.037394794467850885
wave,0.25,211,layer3,original,0.0026776828162837774,0.0026776828162837774,0.002781704068183899,0.0,1.0,0.037394794467850885
wave,0.25,212,all,stencil,0.0037103472859598696,0.00287241829209961,0.002993662841618061,6.911065257681896,1.2917155193465124,0.040500402327510926
wave,0.25,212,all,acf,0.003148792136926204,0.00287241829209961,0.002993662841618061,2.2794743839972385,1.0962164339319038,0.040500402327510926
wave,0.25,212,all,xcorr,0.0031487001397181302,0.00287241829209961,0.002993662841618061,2.2787156100281067,1.0961844061425228,0.040500402327510926
wave,0.25,212,all,uniform,0.0029800728370901197,0.00287241829209961,0.002993662841618061,0.8879124498221406,1.0374787144639088,0.040500402327510926
wave,0.25,212,all,random,0.0029909501026850194,0.00287241829209961,0.002993662841618061,0.9776258896270725,1.041265511681019,0.040500402327510926
wave,0.25,212,all,identity,0.003734023339347914,0.00287241829209961,0.002993662841618061,7.106340455470818,1.2999580700408744,0.040500402327510926
wave,0.25,212,all,frozen,0.002978266216814518,0.00287241829209961,0.002993662841618061,0.8730118189667567,1.0368497600109412,0.040500402327510926
wave,0.25,212,all,original,0.00287241829209961,0.00287241829209961,0.002993662841618061,0.0,1.0,0.040500402327510926
wave,0.25,212,layer0,stencil,0.0031752787763252854,0.00287241829209961,0.002993662841618061,2.4979307146469782,1.1054374584156745,0.040500402327510926
wave,0.25,212,layer0,acf,0.003000709053594619,0.00287241829209961,0.002993662841618061,1.0581157009081523,1.0446629802657448,0.040500402327510926
wave,0.25,212,layer0,xcorr,0.003000656724907458,0.00287241829209961,0.002993662841618061,1.0576841047055268,1.0446447626240785,0.040500402327510926
wave,0.25,212,layer0,uniform,0.0030622598133049905,0.00287241829209961,0.002993662841618061,1.565773652996173,1.0660911823767196,0.040500402327510926
wave,0.25,212,layer0,random,0.0030714909953530878,0.00287241829209961,0.002993662841618061,1.6419105357241874,1.0693049141906015,0.040500402327510926
wave,0.25,212,layer0,identity,0.0031761663558427244,0.00287241829209961,0.002993662841618061,2.5052512871672623,1.1057464592042714,0.040500402327510926
wave,0.25,212,layer0,frozen,0.0030740048678126186,0.00287241829209961,0.002993662841618061,1.6626444365017088,1.0701800905068244,0.040500402327510926
wave,0.25,212,layer0,original,0.00287241829209961,0.00287241829209961,0.002993662841618061,0.0,1.0,0.040500402327510926
wave,0.25,212,layer1,stencil,0.003090425831032917,0.00287241829209961,0.002993662841618061,1.798081149207704,1.0758968634662025,0.040500402327510926
wave,0.25,212,layer1,acf,0.003035939997062087,0.00287241829209961,0.002993662841618061,1.3486932452793865,1.056928235491409,0.040500402327510926
wave,0.25,212,layer1,xcorr,0.0030356664792634547,0.00287241829209961,0.002993662841618061,1.3464373269744505,1.056833013357716,0.040500402327510926
