pde,r,seed,layer,head,window_mass,centrality,asymmetry,width,shift,pred_stencil_centrality,pred_stencil_asymmetry,pred_stencil_width,pred_stencil_shift,pred_acf_centrality,pred_acf_asymmetry,pred_acf_width,pred_acf_shift,pred_xcorr_centrality,pred_xcorr_asymmetry,pred_xcorr_width,pred_xcorr_shift,label,entropy
heat,0.1,103,2,1,0.07681404333561659,0.33375076497299094,-0.001398970393631545,2.597534346219483,0.010539831791942844,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9845002597572936
heat,0.1,103,2,2,0.13977591041475534,0.33392912078511894,0.00466768872220151,2.5799275167343145,0.014299871096200512,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9999890104614833
heat,0.1,103,2,3,0.032789254328235984,0.33264677691584077,0.004940299317374773,2.631422164107563,0.013770878856256386,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9562074057432858
heat,0.1,103,3,0,6.787302208977053e-05,0.38106739024709235,0.1408071918420488,2.4602589448307937,0.09722626919145022,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.7831028772202492
heat,0.1,103,3,1,0.0051210070960223675,0.3391353762126117,-0.03929071684918169,2.678116253611571,-0.11846744090060818,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9123566586811376
heat,0.1,103,3,2,0.00031264684912457597,0.34277820500825484,-0.026537805641059602,2.8230942377515444,-0.16728846593812463,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8703317497698855
heat,0.1,103,3,3,0.019023091299459338,0.3383637331491005,0.011911394132822491,2.633346505198826,0.04337371856096095,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.940727017930188
heat,0.1,104,0,0,0.14242363534867764,0.3344011357406913,0.014874782454033448,2.579160061618934,0.0766138237097792,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.999903479295954
heat,0.1,104,0,1,0.14043721742928028,0.33390688262922025,-0.006287835288486182,2.579919157151293,-0.01816516215035907,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9993587409128126
heat,0.1,104,0,2,0.6939618065953255,0.3285597806484426,0.0030053961623461873,2.552317216058405,0.017295735519979427,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.6912662722381132
heat,0.1,104,0,3,0.36025841906666756,0.3353691696223897,-0.0041625872850251594,2.523658274041796,-0.011243609544391742,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,acf_or_spectral,0.9271789979922056
heat,0.1,104,1,0,0.12991701520513743,0.2804415484256608,-0.045482796502265596,3.6703983848009987,0.010991211935025946,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.5791940830248286
heat,0.1,104,1,1,4.1494334368508135e-06,0.37040160009329703,0.031653512389619935,2.7840763152792674,0.4404234358099831,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.5689453947704681
heat,0.1,104,1,2,0.178150936961174,0.3314863809212484,0.006832938233108301,2.614172094855071,0.028111532618399104,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9913813265014784
heat,0.1,104,1,3,0.14588379953056574,0.33425598074173357,-0.005821844381049739,2.5677695412098536,-0.1044856512101256,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9989839355354636
heat,0.1,104,2,0,0.1592750269919634,0.33303104208531403,0.004785284424006129,2.580682328869995,0.03366235127536754,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9988218303202387
